waste_type,quantity_kg,composition_pct,contamination_pct,moisture_pct,generation_frequency_per_week,processing_cost_per_tonne,transport_distance_km,target_pathway
Rubber,191.1,65.81,42.4,14.12,3.5,176.49,271.5,Energy Recovery
E-waste,7425.8,63.99,39.54,26.76,3.5,149.77,266.8,Material Recovery
Construction,15146.3,34.41,58.29,66.25,3.5,223.57,198.2,Disposal
Paper,369.8,81.16,10.47,20.31,1.0,155.83,246.5,Recycling
Metal,1312.2,78.18,11.26,5.71,3.5,78.64,38.3,Reuse
Metal,6103.5,69.89,26.23,1.53,2.0,179.26,216.8,Material Recovery
Textile,83.4,84.53,17.74,6.23,5.0,79.81,86.5,Recycling
Industrial Residue,1169.7,38.39,41.76,18.72,3.5,162.75,124.9,Energy Recovery
Industrial Residue,524.1,11.97,90.15,68.13,2.0,217.13,29.2,Disposal
Wood,6079.4,57.02,28.83,9.44,1.0,149.6,151.7,Energy Recovery
Organic,3901.5,38.35,47.6,35.45,3.5,473.44,384.9,Disposal
Paper,131.8,91.9,10.63,21.65,14.0,137.76,130.2,Recycling
Rubber,1425.7,88.46,11.18,16.16,5.0,107.82,103.2,Recycling
Glass,40937.1,67.57,10.88,5.41,2.0,114.74,211.8,Recycling
Organic,183.5,23.46,85.39,52.85,3.5,383.34,110.1,Disposal
Textile,31660.7,16.57,94.58,25.03,2.0,351.32,381.0,Disposal
Textile,15719.2,96.91,5.81,3.0,2.0,70.91,94.1,Reuse
Paper,2010.4,84.92,11.16,3.65,1.0,98.0,60.8,Recycling
Organic,1172.0,34.49,59.68,85.22,3.5,387.73,147.9,Disposal
Paper,39816.2,65.7,22.9,15.14,1.0,87.64,22.1,Recycling
Plastic,4163.7,65.9,43.62,11.8,2.0,130.05,263.3,Energy Recovery
Textile,384.9,66.04,16.38,8.39,1.0,114.34,24.6,Recycling
Construction,40091.3,38.19,57.9,43.13,3.5,282.49,152.4,Disposal
Paper,239.2,78.37,9.27,14.09,1.0,48.32,190.5,Recycling
Metal,6836.2,87.38,30.42,5.21,2.0,327.51,265.2,Material Recovery
Organic,245.2,36.93,47.71,43.47,0.25,243.27,323.6,Disposal
Plastic,35401.6,72.32,37.31,32.36,7.0,102.81,248.8,Energy Recovery
Industrial Residue,664.2,40.55,74.14,81.13,2.0,202.99,56.1,Disposal
Metal,115.7,93.54,10.28,6.0,14.0,76.52,65.8,Reuse
Metal,685.7,94.07,21.69,4.93,2.0,53.69,125.1,Recycling
Construction,2588.4,56.08,26.56,7.06,5.0,261.32,175.4,Material Recovery
Industrial Residue,92.9,52.39,54.36,16.36,0.25,227.69,119.1,Energy Recovery
Rubber,142.7,68.3,4.38,10.16,3.5,95.4,196.0,Recycling
Construction,400.6,30.04,85.29,36.45,2.0,311.68,29.4,Disposal
Paper,1319.9,69.48,11.53,21.61,5.0,80.6,179.8,Recycling
Construction,189.4,5.24,89.36,29.2,2.0,205.29,107.8,Disposal
Metal,180.6,48.03,31.14,3.79,0.25,307.07,251.7,Material Recovery
Glass,163.1,83.01,7.99,0.26,1.0,51.06,212.5,Recycling
Wood,4211.6,95.74,11.62,5.75,1.0,93.4,98.8,Reuse
Industrial Residue,171.4,43.08,64.45,48.93,7.0,436.96,58.4,Disposal
Glass,453.7,79.28,12.76,6.97,1.0,149.38,37.6,Recycling
Organic,507.4,60.09,51.01,50.04,3.5,130.37,210.5,Energy Recovery
Industrial Residue,81.8,58.24,22.99,22.78,7.0,158.01,164.9,Material Recovery
Textile,62.2,49.14,53.88,14.26,14.0,166.51,237.4,Energy Recovery
Wood,4408.1,49.05,42.47,13.17,2.0,214.77,27.7,Energy Recovery
Wood,830.1,77.47,9.47,16.03,2.0,23.14,167.7,Reuse
Organic,282.0,63.51,25.47,47.73,3.5,214.22,225.1,Energy Recovery
Plastic,91.2,77.35,17.73,24.36,0.5,141.58,151.5,Recycling
Textile,15712.7,30.96,48.95,26.86,3.5,375.12,171.8,Disposal
Metal,7433.6,77.27,8.3,2.84,3.5,87.04,157.8,Reuse
Industrial Residue,7504.1,17.06,46.89,45.07,3.5,200.32,446.5,Disposal
Metal,6612.6,61.54,28.52,6.97,0.5,331.85,16.6,Material Recovery
Wood,1247.9,53.22,43.33,28.44,1.0,98.05,242.5,Energy Recovery
Textile,38690.4,77.77,11.66,4.04,1.0,19.21,81.0,Reuse
Paper,339.5,93.9,10.29,5.64,0.5,114.71,154.0,Recycling
E-waste,1127.0,72.78,39.0,13.85,2.0,180.31,193.2,Material Recovery
Construction,14930.3,96.92,10.05,5.37,2.0,78.55,135.6,Reuse
Industrial Residue,1380.1,17.43,76.93,30.8,5.0,349.61,289.3,Disposal
Plastic,7643.9,64.56,17.52,4.72,3.5,326.3,228.7,Material Recovery
Glass,533.3,74.41,7.46,9.12,1.0,144.22,183.0,Recycling
Wood,524.2,79.33,8.58,6.25,0.25,83.94,104.1,Reuse
Metal,140.8,63.24,16.38,9.59,5.0,150.62,167.4,Material Recovery
Plastic,2271.1,83.13,8.09,25.79,3.5,91.39,138.1,Recycling
Construction,4937.5,39.65,61.59,72.99,1.0,234.5,190.0,Disposal
Construction,896.9,9.89,62.78,77.23,2.0,341.04,407.1,Disposal
Construction,66.9,82.04,1.0,4.39,7.0,53.81,178.1,Reuse
Wood,4586.1,73.24,48.87,20.59,5.0,130.92,142.8,Energy Recovery
Wood,1160.1,97.68,9.86,10.35,1.0,37.48,174.8,Reuse
Paper,6002.1,86.69,4.23,19.0,0.25,55.96,83.6,Recycling
Metal,4683.7,94.99,23.48,1.0,1.0,150.2,230.1,Recycling
E-waste,32528.4,60.92,30.87,5.31,2.0,168.26,209.7,Material Recovery
Metal,185.9,65.5,20.84,6.97,0.5,189.96,238.4,Material Recovery
E-waste,8923.9,53.81,32.11,10.2,0.5,175.92,91.4,Material Recovery
Metal,261.7,57.27,17.08,0.36,0.25,146.21,319.0,Material Recovery
Organic,142.9,7.4,64.1,51.91,1.0,172.13,417.1,Disposal
Plastic,12364.4,94.89,8.39,24.01,1.0,153.3,212.9,Recycling
Wood,681.1,62.84,39.76,37.53,1.0,157.33,228.2,Energy Recovery
E-waste,336.3,82.2,24.71,15.33,3.5,283.64,141.0,Material Recovery
Glass,2492.6,92.63,23.35,2.21,7.0,58.99,188.9,Recycling
Construction,40376.4,92.24,2.28,6.04,2.0,56.09,135.9,Reuse
Wood,15678.9,78.66,11.11,2.14,0.5,18.21,134.3,Reuse
Wood,35659.9,54.88,26.79,19.91,1.0,111.39,40.3,Energy Recovery
Wood,658.4,40.92,49.59,17.2,1.0,119.73,273.9,Energy Recovery
Textile,337.2,46.53,53.4,8.61,3.5,144.38,246.2,Energy Recovery
Plastic,42418.9,74.29,43.1,15.7,2.0,83.35,235.8,Energy Recovery
Plastic,286.3,84.1,9.15,15.14,0.5,11.65,99.4,Reuse
Metal,2691.3,73.16,5.28,7.12,0.25,101.45,96.4,Recycling
Textile,4049.5,17.18,65.74,30.03,1.0,469.73,180.5,Disposal
Plastic,50.4,71.98,8.38,15.69,5.0,67.2,41.3,Recycling
E-waste,890.4,78.84,22.44,29.33,5.0,310.05,84.1,Material Recovery
Textile,272.9,22.56,66.2,71.14,5.0,269.22,237.2,Disposal
Construction,15424.6,98.35,4.85,10.38,2.0,83.25,106.0,Reuse
Construction,26859.8,84.64,8.39,9.33,0.25,16.87,111.5,Reuse
Metal,12598.4,56.27,16.16,5.41,5.0,181.07,230.1,Material Recovery
Plastic,48194.7,44.79,22.42,14.15,0.25,186.75,166.9,Energy Recovery
Glass,172.0,81.18,17.07,3.48,2.0,111.39,184.7,Recycling
Plastic,9758.1,74.82,15.55,10.13,2.0,109.49,129.7,Recycling
Plastic,11376.2,81.98,27.51,26.34,1.0,239.29,188.2,Material Recovery
Metal,88.7,77.47,20.8,4.89,0.25,142.74,80.1,Recycling
E-waste,10988.2,71.04,31.47,9.41,1.0,264.83,163.7,Material Recovery
Construction,356.0,12.47,48.54,82.78,1.0,371.06,50.1,Disposal
Plastic,1610.5,49.37,43.46,20.73,2.0,181.04,111.0,Energy Recovery
Metal,39143.1,67.24,15.36,4.35,1.0,75.23,85.6,Recycling
Textile,4633.7,21.15,65.69,59.8,2.0,324.05,347.3,Disposal
Metal,129.4,59.93,13.62,8.54,1.0,204.11,188.7,Material Recovery
Textile,2874.0,30.78,91.76,48.86,5.0,325.93,101.2,Disposal
Industrial Residue,112.7,8.56,63.76,81.83,3.5,299.25,415.6,Disposal
Rubber,1188.8,39.73,47.86,27.02,3.5,208.62,50.2,Energy Recovery
Rubber,3705.4,40.97,28.12,5.5,2.0,95.12,104.6,Energy Recovery
Textile,13789.7,82.43,4.83,14.46,3.5,80.46,134.3,Reuse
Textile,159.7,8.2,94.6,48.89,1.0,321.69,336.0,Disposal
Wood,2243.8,97.16,5.6,15.64,0.25,94.94,151.3,Reuse
E-waste,967.2,54.95,27.42,15.69,2.0,139.92,193.1,Material Recovery
E-waste,216.0,54.62,14.31,23.95,0.5,193.31,233.8,Material Recovery
Organic,140.1,45.02,34.5,60.1,2.0,218.59,189.4,Energy Recovery
Plastic,3171.2,95.83,8.79,17.46,1.0,59.12,42.2,Reuse
Glass,35194.1,70.87,6.14,3.05,1.0,123.73,203.0,Recycling
Glass,1062.0,81.53,8.11,4.86,1.0,74.17,24.9,Reuse
E-waste,7322.8,54.57,16.21,26.22,0.5,250.5,72.2,Material Recovery
Paper,1590.0,76.73,19.45,17.3,1.0,43.32,35.1,Recycling
Paper,1894.3,69.12,7.99,25.0,2.0,148.29,200.8,Recycling
Wood,289.0,86.28,7.81,17.68,0.25,77.02,65.3,Reuse
Plastic,20153.5,80.84,4.85,7.5,5.0,104.19,21.2,Recycling
Wood,33196.4,82.1,1.96,8.15,3.5,86.74,112.7,Reuse
Wood,710.3,59.83,38.27,37.14,1.0,198.37,169.6,Energy Recovery
Plastic,256.1,52.41,47.13,22.97,3.5,73.24,261.3,Energy Recovery
Industrial Residue,4483.5,71.59,17.07,15.36,0.25,311.61,93.0,Material Recovery
Plastic,129.9,85.8,14.22,12.87,1.0,65.08,162.5,Recycling
Wood,59.3,63.13,49.74,29.66,2.0,191.21,246.0,Energy Recovery
Plastic,38974.5,84.64,34.87,12.48,14.0,214.15,55.7,Material Recovery
Metal,289.9,56.56,34.97,9.26,7.0,212.92,136.1,Material Recovery
Plastic,1004.0,65.28,7.43,15.0,3.5,116.39,215.9,Recycling
E-waste,7847.6,68.1,18.62,5.57,1.0,212.49,196.5,Material Recovery
Industrial Residue,14018.3,12.87,61.79,43.16,3.5,247.83,323.4,Disposal
Metal,12372.4,69.34,16.09,3.91,2.0,330.83,58.9,Material Recovery
Paper,27362.0,44.94,83.37,69.39,0.25,255.83,373.6,Disposal
Organic,714.1,61.5,35.57,40.27,7.0,202.79,51.7,Energy Recovery
Plastic,353.8,38.39,83.14,80.57,5.0,356.14,347.5,Disposal
Textile,1920.3,41.37,45.4,41.79,7.0,384.09,211.9,Disposal
Wood,70.3,88.58,8.39,13.66,2.0,52.22,163.2,Reuse
Construction,30337.1,96.39,10.29,13.1,2.0,77.46,94.0,Reuse
Construction,12248.3,80.13,5.94,16.32,0.5,17.21,95.2,Reuse
Rubber,9012.2,59.88,21.56,7.53,3.5,194.76,64.5,Energy Recovery
Textile,2501.5,40.2,42.29,34.7,7.0,212.32,197.8,Energy Recovery
Glass,4355.3,95.12,7.72,9.03,1.0,47.47,106.4,Reuse
Industrial Residue,1682.1,23.83,78.84,28.89,3.5,366.42,238.9,Disposal
Industrial Residue,703.8,72.09,12.34,28.1,1.0,119.47,179.7,Material Recovery
Metal,6361.4,94.15,4.41,8.8,1.0,10.86,170.9,Reuse
Textile,499.6,15.25,49.86,28.53,1.0,450.63,448.6,Disposal
Paper,2888.3,82.82,7.55,24.63,1.0,62.07,224.7,Recycling
Industrial Residue,185.7,10.47,68.93,34.28,0.25,320.22,331.9,Disposal
E-waste,2092.7,84.64,40.35,15.96,1.0,319.61,265.7,Material Recovery
E-waste,695.2,82.7,31.48,11.17,14.0,132.91,111.2,Material Recovery
Construction,10102.7,80.69,36.85,7.78,1.0,287.38,150.1,Material Recovery
Plastic,2281.3,32.63,85.23,39.38,1.0,466.71,176.0,Disposal
Plastic,1216.3,83.83,11.39,17.74,1.0,42.46,97.3,Reuse
Plastic,4591.2,91.88,7.53,17.78,0.25,79.45,57.4,Reuse
E-waste,243.1,55.2,15.93,21.85,0.5,172.09,86.9,Material Recovery
Wood,5950.3,42.13,42.87,25.17,2.0,193.84,57.9,Energy Recovery
Paper,17410.2,30.92,59.71,26.42,1.0,237.52,251.9,Disposal
Construction,47651.5,80.69,7.08,10.77,1.0,93.13,120.2,Reuse
E-waste,632.8,49.51,22.67,8.29,2.0,163.59,262.4,Material Recovery
Metal,12421.3,84.82,5.71,6.19,3.5,51.08,47.0,Recycling
Wood,173.1,77.41,2.73,4.87,0.25,55.4,53.0,Reuse
Metal,2354.3,92.44,15.25,9.68,0.5,72.79,58.8,Recycling
Organic,384.4,7.63,79.56,66.88,1.0,190.67,343.3,Disposal
Paper,1187.1,76.92,10.52,9.18,5.0,146.18,159.5,Recycling
Organic,10110.7,72.99,32.01,45.66,5.0,156.13,188.1,Energy Recovery
Textile,21624.8,41.51,20.16,15.55,0.5,87.76,83.6,Energy Recovery
Plastic,142.1,90.64,4.2,9.09,0.25,18.8,162.3,Reuse
Industrial Residue,3676.4,54.82,22.73,17.57,5.0,131.38,263.6,Material Recovery
E-waste,119.5,73.78,33.04,28.54,1.0,335.79,255.5,Material Recovery
Metal,24603.6,72.83,26.77,9.85,5.0,222.89,315.2,Material Recovery
Paper,94.1,76.92,13.78,19.19,2.0,64.96,222.5,Recycling
Plastic,995.1,90.36,2.59,17.43,5.0,14.71,26.7,Reuse
Metal,1485.3,65.89,9.47,9.93,1.0,167.05,113.6,Recycling
Construction,320.0,86.6,5.51,13.43,5.0,80.61,20.2,Reuse
Glass,2042.1,91.47,17.09,4.71,5.0,98.18,221.8,Recycling
Industrial Residue,33956.9,10.82,45.51,73.37,0.5,260.74,442.2,Disposal
Metal,279.1,76.02,14.86,6.62,1.0,265.55,132.4,Material Recovery
Glass,691.1,77.53,7.05,3.3,5.0,107.41,167.1,Recycling
Glass,51.1,78.77,2.5,0.75,2.0,60.47,56.0,Reuse
Industrial Residue,903.8,28.14,94.12,61.97,0.5,305.38,359.4,Disposal
Textile,24141.2,10.69,75.07,27.92,5.0,228.99,372.2,Disposal
Plastic,10747.8,47.94,23.99,7.44,1.0,116.55,26.2,Energy Recovery
Rubber,2837.8,39.89,47.85,15.87,1.0,187.22,73.7,Energy Recovery
Metal,97.5,89.19,22.2,1.07,0.5,65.91,136.3,Recycling
Metal,4217.8,72.72,20.43,9.67,2.0,62.71,200.8,Recycling
Metal,2784.0,80.32,8.46,3.06,2.0,55.13,79.5,Reuse
Rubber,97.1,44.43,22.35,22.5,1.0,189.39,155.7,Energy Recovery
Industrial Residue,274.6,55.84,30.48,26.81,0.25,288.66,113.6,Material Recovery
Plastic,375.3,74.43,23.29,27.19,3.5,106.29,148.2,Recycling
Textile,33556.0,90.82,23.21,11.71,1.0,53.64,82.4,Recycling
Paper,447.8,73.67,8.15,20.33,1.0,166.05,200.9,Recycling
Plastic,488.6,88.35,7.24,10.55,0.5,40.06,121.4,Reuse
Organic,5431.6,56.07,22.54,54.88,2.0,109.68,177.7,Energy Recovery
Organic,5979.0,74.02,25.48,38.56,0.25,83.21,239.9,Energy Recovery
Construction,5028.0,81.8,8.3,9.27,0.25,43.6,109.9,Reuse
Wood,1209.8,48.5,18.73,15.76,5.0,156.57,253.4,Energy Recovery
Construction,25809.9,75.23,1.37,16.01,2.0,80.94,106.9,Reuse
Rubber,844.5,67.07,22.68,2.83,3.5,143.39,244.8,Recycling
Glass,717.1,82.53,7.47,5.11,2.0,31.65,129.0,Reuse
Construction,659.8,42.03,92.95,83.23,2.0,365.14,273.0,Disposal
Organic,1161.4,70.62,23.36,60.98,1.0,83.19,204.4,Energy Recovery
E-waste,3479.2,84.81,32.27,24.57,3.5,234.54,27.9,Material Recovery
Industrial Residue,16776.0,43.0,52.15,74.23,0.5,165.78,63.2,Disposal
Plastic,10854.6,74.57,8.38,25.29,0.25,173.86,137.1,Recycling
E-waste,82.0,73.25,29.15,30.32,0.5,162.49,111.6,Material Recovery
Industrial Residue,36133.7,36.41,92.03,34.22,1.0,361.55,279.3,Disposal
Metal,98.4,77.66,34.85,6.97,0.5,219.74,85.9,Material Recovery
Wood,90.1,92.32,9.43,10.65,0.25,23.38,113.1,Reuse
Plastic,59.5,66.11,51.79,19.64,2.0,145.01,61.4,Energy Recovery
E-waste,308.3,77.48,23.69,15.73,1.0,165.1,248.2,Material Recovery
Industrial Residue,6200.3,26.78,85.21,64.12,5.0,410.1,193.9,Disposal
Industrial Residue,144.0,73.02,18.82,11.45,14.0,319.24,115.4,Material Recovery
Glass,7232.1,82.92,4.11,8.48,1.0,36.29,76.5,Reuse
Rubber,391.9,68.07,20.6,21.53,14.0,100.71,93.7,Recycling
Industrial Residue,483.7,42.5,84.93,52.24,0.5,192.86,275.9,Disposal
Glass,8117.3,75.6,3.66,2.23,3.5,85.84,20.2,Reuse
Rubber,117.7,44.1,22.18,37.49,0.5,83.11,215.8,Energy Recovery
Wood,1178.5,76.15,5.33,14.5,0.5,86.94,109.4,Reuse
Metal,3597.0,51.58,16.73,0.91,7.0,339.3,205.7,Material Recovery
Plastic,92.5,94.47,7.36,25.02,3.5,126.28,222.8,Recycling
Plastic,1323.5,74.02,30.26,28.28,1.0,220.48,274.8,Energy Recovery
E-waste,245.4,73.35,41.83,24.98,1.0,329.75,172.5,Material Recovery
Plastic,21678.6,68.05,36.36,23.4,5.0,297.42,24.0,Material Recovery
Wood,5783.0,91.97,8.58,8.72,7.0,76.97,114.4,Reuse
Construction,588.2,44.81,92.29,27.45,3.5,315.26,232.0,Disposal
Plastic,2120.4,86.61,13.77,25.84,2.0,47.93,18.1,Recycling
Industrial Residue,89.5,54.43,18.74,33.37,2.0,207.42,253.2,Energy Recovery
Wood,3757.4,56.6,25.4,18.28,2.0,189.79,58.8,Energy Recovery
Plastic,9975.2,96.21,0.93,6.72,0.5,42.02,33.4,Reuse
Metal,198.2,75.17,22.78,7.55,2.0,107.51,20.9,Recycling
Textile,1838.0,76.04,9.51,15.74,2.0,91.94,15.6,Reuse
Plastic,59.5,98.43,9.82,15.98,3.5,38.24,167.9,Reuse
Plastic,3767.4,36.03,76.6,70.85,2.0,187.37,46.1,Disposal
Plastic,926.7,85.87,20.34,27.69,0.5,49.56,101.9,Recycling
E-waste,15486.4,72.82,35.43,30.97,5.0,272.06,212.5,Material Recovery
Industrial Residue,81.5,80.95,19.97,5.26,1.0,327.26,308.0,Material Recovery
Glass,87.0,76.1,3.12,2.89,1.0,18.59,53.6,Reuse
Construction,7607.5,97.18,6.47,14.62,0.25,61.21,148.9,Reuse
Construction,1612.2,29.15,92.9,60.25,3.5,248.14,23.2,Disposal
Wood,33844.4,49.54,42.32,7.98,3.5,83.9,40.2,Energy Recovery
Plastic,3302.0,74.99,13.47,13.88,2.0,84.28,157.1,Recycling
Industrial Residue,256.4,28.71,87.39,80.91,0.25,392.0,153.9,Disposal
Industrial Residue,9357.1,8.71,73.14,56.28,0.5,168.93,362.5,Disposal
Metal,1347.8,75.62,13.8,8.14,2.0,213.47,117.1,Material Recovery
Wood,1803.5,68.08,19.57,37.86,1.0,184.98,160.6,Energy Recovery
Wood,5721.5,55.27,29.99,5.2,1.0,183.15,176.3,Energy Recovery
Metal,1863.7,73.24,31.08,5.64,2.0,181.22,120.9,Material Recovery
E-waste,321.8,69.4,17.58,7.17,3.5,277.23,86.0,Material Recovery
E-waste,1899.2,77.01,27.95,9.87,1.0,253.82,69.6,Material Recovery
Plastic,3011.9,40.6,25.14,28.75,2.0,70.71,155.9,Energy Recovery
Metal,19006.7,90.15,3.13,9.05,0.25,30.23,122.1,Reuse
E-waste,39444.2,72.58,31.0,16.51,1.0,118.68,75.8,Material Recovery
Glass,2641.0,97.77,4.78,7.63,2.0,43.83,118.7,Reuse
E-waste,12542.6,67.74,22.26,13.66,14.0,216.65,256.4,Material Recovery
Plastic,7219.5,31.6,57.67,66.24,2.0,282.08,158.3,Disposal
Industrial Residue,24580.6,27.81,54.66,53.55,0.5,459.58,97.3,Disposal
Construction,184.5,88.04,5.74,6.47,3.5,58.6,45.9,Reuse
Metal,136.2,96.61,0.53,8.58,0.5,31.31,35.5,Reuse
Industrial Residue,4954.3,19.9,83.5,46.64,0.5,401.12,201.3,Disposal
Paper,8463.6,81.13,7.36,13.89,3.5,114.21,37.2,Recycling
Paper,27194.3,36.28,72.41,50.43,2.0,160.32,219.8,Disposal
E-waste,3148.3,58.33,17.4,33.71,2.0,114.28,234.5,Material Recovery
Paper,20262.8,79.75,17.92,4.55,0.5,171.52,116.3,Recycling
Construction,416.4,82.71,1.42,12.24,2.0,46.22,125.7,Reuse
Wood,446.5,58.12,25.24,27.49,2.0,215.24,92.2,Energy Recovery
Metal,149.7,98.36,7.5,2.39,2.0,56.94,21.3,Reuse
Industrial Residue,4211.1,7.46,83.72,64.61,5.0,178.5,291.6,Disposal
Construction,1447.4,68.65,22.59,30.9,2.0,248.97,168.1,Material Recovery
Plastic,3863.1,59.48,22.04,29.08,14.0,142.22,195.9,Energy Recovery
Textile,226.8,31.0,63.82,29.04,1.0,351.64,442.7,Disposal
Organic,21823.0,72.94,22.38,43.89,3.5,190.12,247.6,Energy Recovery
Wood,186.5,83.14,10.41,5.23,1.0,45.86,53.7,Reuse
Organic,16051.8,32.13,47.92,63.91,5.0,295.06,104.0,Disposal
E-waste,203.4,77.42,38.18,10.41,1.0,252.28,62.6,Material Recovery
Plastic,1250.5,56.34,54.03,29.94,0.5,198.18,258.3,Energy Recovery
Construction,648.0,84.79,11.44,1.56,1.0,90.8,154.7,Reuse
Textile,8322.8,82.33,7.64,11.36,7.0,27.66,41.9,Reuse
Textile,55.2,94.31,4.71,14.44,2.0,48.66,122.7,Reuse
Metal,98.1,97.71,4.0,4.93,5.0,21.53,84.4,Reuse
Metal,11919.0,76.13,1.76,6.27,1.0,15.4,71.8,Reuse
Plastic,1341.9,61.4,43.36,23.88,5.0,146.14,115.7,Energy Recovery
Industrial Residue,258.7,82.59,34.27,21.4,3.5,293.73,102.7,Material Recovery
Plastic,85.3,78.04,12.42,14.59,1.0,73.29,160.0,Recycling
Glass,3357.1,66.12,9.51,1.44,3.5,45.24,223.5,Recycling
Industrial Residue,659.8,84.57,35.85,26.61,7.0,237.31,184.3,Material Recovery
Industrial Residue,94.6,51.08,26.36,29.52,5.0,76.1,100.9,Energy Recovery
Industrial Residue,1894.8,7.56,65.36,73.45,5.0,441.36,217.9,Disposal
Metal,972.1,87.37,3.28,1.44,2.0,30.45,77.9,Reuse
Wood,133.9,59.53,20.02,22.06,5.0,136.79,205.1,Energy Recovery
Metal,208.9,83.98,7.32,1.39,1.0,48.01,94.2,Recycling
E-waste,15225.3,67.29,15.91,22.71,5.0,288.22,213.0,Material Recovery
Industrial Residue,49250.1,75.23,33.64,24.32,1.0,206.27,133.4,Material Recovery
Industrial Residue,20246.1,11.87,69.33,66.51,7.0,352.6,229.3,Disposal
Construction,14844.5,96.97,3.05,2.07,5.0,35.69,76.5,Reuse
Glass,105.0,97.53,2.04,1.15,2.0,33.15,110.8,Reuse
Plastic,76.4,84.81,8.42,9.81,7.0,158.76,228.8,Recycling
Construction,10884.9,66.3,21.49,26.19,2.0,255.14,68.9,Material Recovery
Wood,104.2,40.2,35.42,27.29,0.25,132.5,58.3,Energy Recovery
Plastic,3215.1,80.67,2.18,4.35,3.5,65.72,36.0,Reuse
Plastic,7085.4,63.72,25.71,28.22,0.5,205.33,297.6,Material Recovery
Wood,1886.7,59.46,45.47,24.6,5.0,193.78,150.6,Energy Recovery
Textile,42040.2,80.59,18.02,11.68,0.5,52.9,42.0,Recycling
Paper,55.9,18.67,68.45,60.97,3.5,366.86,20.9,Disposal
Glass,105.9,89.03,9.96,9.4,1.0,12.13,159.7,Reuse
Organic,43707.1,40.96,39.23,35.14,0.25,140.01,217.5,Energy Recovery
Textile,275.4,46.17,45.01,29.29,1.0,158.51,250.8,Energy Recovery
E-waste,1241.9,78.89,34.0,13.02,2.0,201.26,168.2,Material Recovery
Industrial Residue,33379.9,14.61,86.28,64.65,14.0,479.26,399.1,Disposal
Wood,2258.4,95.03,11.77,5.14,1.0,88.36,93.9,Reuse
Plastic,85.6,87.51,7.71,5.67,1.0,33.1,60.9,Reuse
Textile,1453.7,28.83,73.27,42.45,2.0,349.13,282.9,Disposal
Construction,40778.9,50.99,26.75,11.47,0.25,161.22,211.2,Material Recovery
Rubber,34353.2,70.23,45.22,6.81,3.5,210.96,40.0,Energy Recovery
Metal,26167.9,87.25,1.81,5.1,1.0,71.83,148.3,Reuse
Construction,4616.8,85.97,8.81,7.97,0.5,49.91,174.6,Reuse
Industrial Residue,8831.4,9.59,91.77,44.63,2.0,181.84,255.8,Disposal
Plastic,749.6,86.86,22.98,26.67,14.0,170.3,17.8,Recycling
Plastic,14789.2,62.53,21.55,24.14,0.25,148.09,110.7,Energy Recovery
Organic,38171.9,53.77,45.15,46.79,3.5,109.17,19.5,Energy Recovery
Rubber,3276.5,69.63,17.17,20.74,5.0,116.09,208.1,Recycling
Paper,1064.5,73.63,18.28,11.01,1.0,104.68,58.5,Recycling
Paper,43620.8,89.47,11.37,19.52,2.0,147.56,184.1,Recycling
Organic,6063.7,69.73,41.24,48.33,0.5,147.13,165.3,Energy Recovery
Industrial Residue,32918.8,44.55,22.2,20.79,2.0,223.05,66.6,Energy Recovery
Construction,152.5,48.9,13.29,21.78,2.0,119.01,189.5,Material Recovery
Industrial Residue,361.2,64.7,34.44,30.08,5.0,295.91,174.4,Material Recovery
Plastic,4247.1,98.39,9.91,11.43,0.25,88.97,150.2,Reuse
E-waste,326.5,74.19,12.25,16.05,5.0,261.82,278.6,Material Recovery
Construction,2004.6,81.84,9.11,8.63,1.0,78.73,87.1,Reuse
Wood,1428.1,67.31,27.67,28.13,3.5,206.54,102.6,Energy Recovery
Metal,42527.7,52.16,28.13,7.03,3.5,258.71,301.6,Material Recovery
Metal,28596.1,67.86,23.26,7.86,14.0,157.05,40.5,Recycling
Glass,23674.3,98.71,7.35,9.5,2.0,71.14,93.3,Reuse
Metal,550.0,61.34,23.8,1.57,1.0,253.8,87.0,Material Recovery
Plastic,426.3,81.1,16.32,9.21,2.0,67.43,203.9,Recycling
Glass,4495.2,77.38,8.57,8.53,3.5,71.27,42.6,Reuse
Paper,476.5,8.06,50.37,70.99,2.0,240.89,237.6,Disposal
Metal,16976.6,52.09,27.35,6.62,1.0,258.89,200.8,Material Recovery
Plastic,29825.2,65.34,19.6,29.43,0.5,193.53,141.0,Energy Recovery
Organic,805.4,31.41,71.51,51.86,3.5,337.16,150.9,Disposal
Organic,99.4,64.14,26.95,50.97,2.0,62.38,68.6,Energy Recovery
Glass,2045.1,88.72,11.19,8.96,2.0,51.47,194.5,Recycling
E-waste,61.1,73.06,15.94,29.99,3.5,307.88,114.2,Material Recovery
Plastic,687.0,80.85,5.84,11.38,0.25,82.33,36.8,Reuse
Organic,100.0,52.55,52.25,36.14,5.0,164.12,220.0,Energy Recovery
Industrial Residue,57.6,75.11,20.07,16.69,3.5,286.54,17.7,Material Recovery
Industrial Residue,642.5,40.54,69.29,51.77,2.0,348.24,243.1,Disposal
Organic,744.6,39.68,94.99,46.64,2.0,220.27,66.7,Disposal
Textile,2388.1,33.3,73.61,32.43,0.5,357.99,268.0,Disposal
Construction,596.8,75.14,17.44,15.77,0.25,267.43,270.8,Material Recovery
Textile,813.0,18.59,66.38,66.15,3.5,332.03,160.2,Disposal
